client_name,age,ed,employ,address,income,debtinc,creddebt,othdebt,default,card_brand,card_type,credit_limit,has_chip,card_on_dark_web,MaritalStatus,EducationLevel,EmploymentStatus,HomeOwnershipStatus,BankruptcyHistory,kashf_ratib,sijil_tijari,ouqoud,damanat,wathaiq_zoboun
Client_22,28,2,30,18,76,32.9,6.35,4.25,0,CIB,Debit,,Yes,No,Married,High School,Employed,Own,0,false,false,true,true,true
Client_23,26,4,37,16,105,34.0,6.92,14.48,0,Mastercard,Debit,,No,Yes,Divorced,Masters,Unemployed,Own,0,true,true,true,false,true
Client_24,26,2,26,3,197,19.8,0.24,7.43,0,Mastercard,Debit,,Yes,No,Single,Bachelors,Employed,Rent,0,false,false,false,false,true
Client_25,27,3,24,22,123,37.4,5.07,2.96,0,CIB,Debit,,Yes,No,Married,PhD,Self-Employed,Rent,0,false,true,false,true,true
Client_26,61,1,18,0,182,26.3,2.95,0.68,1,Mastercard,Debit,,Yes,No,Divorced,High School,Self-Employed,Own,0,true,true,false,true,false
Client_27,33,4,15,14,34,7.8,8.97,12.1,0,CIB,Credit,,Yes,No,Single,Masters,Unemployed,Rent,0,true,true,true,false,false
Client_28,25,4,4,22,118,43.7,2.92,3.75,0,CIB,Debit,,Yes,No,Married,Masters,Self-Employed,Rent,0,false,true,false,true,false
Client_29,56,2,5,4,181,39.2,7.1,4.82,0,Visa,Credit,,Yes,Yes,Single,Masters,Employed,Own,0,true,false,true,false,false
Client_30,49,1,32,23,156,25.3,5.47,3.69,0,Mastercard,Debit,,Yes,No,Single,Bachelors,Unemployed,Rent,0,true,true,false,false,false
Client_31,53,1,24,4,41,48.5,7.03,1.53,0,Visa,Debit,,Yes,No,Divorced,Masters,Employed,Mortgage,0,false,true,true,true,true
Client_32,61,2,10,17,64,40.2,5.04,1.98,0,CIB,Credit,,Yes,No,Single,PhD,Unemployed,Own,0,false,true,false,false,true
Client_33,35,3,37,9,45,14.1,9.06,11.98,0,CIB,Debit,,Yes,No,Single,Masters,Unemployed,Own,0,true,true,false,true,true
Client_34,53,3,8,18,133,33.9,9.56,12.29,0,Visa,Debit,,Yes,No,Single,PhD,Self-Employed,Rent,0,true,true,true,true,false
Client_35,33,4,17,2,118,6.7,9.71,11.9,0,Visa,Credit,,Yes,No,Single,Bachelors,Employed,Own,0,true,false,false,true,true
Client_36,61,2,38,28,85,43.1,8.61,2.43,0,CIB,Credit,,Yes,No,Divorced,Bachelors,Employed,Mortgage,0,true,false,false,false,false
Client_37,40,2,14,15,68,41.4,9.82,13.7,0,CIB,Credit,,Yes,No,Divorced,High School,Employed,Rent,0,false,true,true,true,false
Client_38,38,4,27,5,43,44.4,9.37,0.52,0,Mastercard,Credit,,Yes,No,Divorced,High School,Unemployed,Mortgage,0,true,false,false,true,false
Client_39,32,2,12,10,105,5.7,4.99,8.28,0,CIB,Debit,,No,No,Divorced,High School,Unemployed,Own,0,true,false,true,true,false
Client_40,20,1,7,3,111,41.1,2.24,4.2,0,CIB,Debit,,Yes,No,Single,Bachelors,Employed,Mortgage,0,true,false,false,true,false
Client_41,22,3,27,3,186,2.6,0.04,5.41,0,CIB,Debit,,Yes,No,Divorced,Bachelors,Unemployed,Own,0,true,true,false,false,false
Client_42,34,4,10,8,96,29.8,7.05,3.72,0,CIB,Debit,,Yes,No,Divorced,PhD,Employed,Mortgage,0,true,false,true,false,true
Client_43,41,4,17,17,73,47.6,3.75,0.6,0,Visa,Debit,,Yes,Yes,Single,Masters,Employed,Own,0,false,false,false,false,true
Client_44,26,4,16,8,125,5.9,6.72,6.18,0,CIB,Credit,,Yes,Yes,Single,High School,Employed,Mortgage,0,true,false,false,false,false
Client_45,27,4,30,24,135,15.7,8.94,13.68,0,Visa,Debit,,Yes,No,Single,Bachelors,Employed,Mortgage,0,false,true,false,true,false
Client_46,23,2,9,16,63,26.3,3.99,10.89,0,Mastercard,Debit,,Yes,No,Single,Masters,Unemployed,Rent,0,false,false,false,false,true
Client_47,54,1,36,18,171,43.4,3.59,0.47,0,Visa,Debit,,Yes,No,Divorced,High School,Employed,Rent,0,true,true,true,false,false
Client_48,39,2,28,8,66,38.4,5.55,1.24,0,Mastercard,Debit,,Yes,No,Married,PhD,Employed,Mortgage,0,true,true,false,true,true
Client_49,37,2,22,22,95,13.3,7.9,2.75,0,Visa,Debit,,Yes,No,Single,PhD,Unemployed,Mortgage,0,true,true,true,false,false
Client_50,62,4,33,24,137,15.7,7.02,2.58,0,Mastercard,Credit,,Yes,No,Married,PhD,Employed,Rent,0,false,false,true,false,true
Client_51,47,3,17,4,161,6.5,9.83,12.24,0,CIB,Debit,,No,No,Divorced,PhD,Self-Employed,Own,0,false,false,true,false,false
Client_52,61,3,33,24,69,38.6,0.46,1.23,0,Visa,Debit,,Yes,No,Single,PhD,Employed,Mortgage,0,false,true,true,false,true
Client_53,37,2,4,22,92,23.1,3.86,1.27,0,Visa,Credit,,Yes,No,Divorced,Bachelors,Unemployed,Mortgage,0,false,false,false,true,true
Client_54,64,3,35,24,195,3.6,7.58,3.27,0,Mastercard,Credit,,Yes,No,Single,Masters,Employed,Own,0,true,false,true,true,false
Client_55,54,2,4,25,106,5.0,7.66,4.34,0,Visa,Credit,,Yes,No,Divorced,Masters,Unemployed,Own,0,true,true,true,true,true
Client_56,43,1,26,25,152,5.0,3.46,5.95,0,Visa,Debit,,Yes,No,Single,High School,Self-Employed,Rent,0,false,true,false,false,true
Client_57,37,1,39,3,183,31.5,0.21,0.59,0,Visa,Credit,,Yes,No,Married,Masters,Employed,Mortgage,0,true,true,true,true,true
Client_58,49,4,18,24,156,22.3,3.67,1.42,0,Visa,Debit,,Yes,No,Divorced,High School,Unemployed,Rent,0,true,false,false,true,false
Client_59,25,3,24,16,124,23.9,2.86,12.74,0,Visa,Debit,,Yes,No,Divorced,PhD,Employed,Mortgage,0,true,true,true,false,false
Client_60,51,2,10,27,137,17.9,8.43,0.89,0,CIB,Credit,,No,No,Single,PhD,Self-Employed,Own,0,true,true,true,true,false
Client_61,31,2,25,21,82,38.4,0.82,1.81,0,Visa,Debit,,Yes,Yes,Single,PhD,Unemployed,Rent,1,true,false,true,true,true
Client_62,41,1,9,7,168,31.1,0.74,4.6,0,Visa,Credit,,Yes,No,Single,PhD,Unemployed,Own,0,true,true,true,true,false
Client_63,47,2,3,5,155,3.6,8.58,5.37,0,Mastercard,Debit,,Yes,No,Married,Bachelors,Employed,Own,0,true,false,false,false,false
Client_64,23,4,7,22,174,20.9,0.76,4.67,0,Mastercard,Debit,,Yes,No,Single,High School,Unemployed,Rent,0,true,false,true,false,false
Client_65,59,2,12,20,183,13.3,9.74,12.97,0,Visa,Credit,,Yes,No,Divorced,PhD,Self-Employed,Mortgage,0,false,false,false,true,false
Client_66,64,4,34,14,116,3.2,4.06,10.88,0,CIB,Credit,,Yes,No,Single,PhD,Employed,Own,0,true,true,true,true,true
Client_67,56,2,34,4,105,39.2,8.56,3.19,0,Mastercard,Debit,,Yes,No,Married,Bachelors,Self-Employed,Own,0,true,false,false,false,true
Client_68,26,4,9,1,39,5.9,3.68,14.67,0,CIB,Debit,,Yes,No,Married,High School,Unemployed,Rent,0,false,true,true,false,false
Client_69,42,2,10,7,40,42.1,0.11,10.45,0,Visa,Debit,,Yes,No,Divorced,Bachelors,Employed,Own,0,true,true,true,false,true
Client_70,49,4,2,7,50,41.8,0.07,4.63,0,Mastercard,Debit,,Yes,No,Married,Bachelors,Unemployed,Rent,0,false,false,false,true,false
Client_71,43,1,18,8,52,31.6,3.95,9.42,0,Mastercard,Debit,,Yes,No,Divorced,Bachelors,Self-Employed,Rent,0,false,true,false,true,false
Client_72,64,1,24,27,192,41.6,0.47,9.55,0,Mastercard,Credit,,Yes,No,Married,High School,Unemployed,Own,0,true,false,false,false,false
Client_73,59,3,11,12,90,37.9,5.33,6.84,0,Mastercard,Credit,,Yes,No,Single,PhD,Employed,Mortgage,0,true,true,false,false,false
Client_74,45,3,0,18,151,33.0,4.97,0.2,0,Visa,Debit,,Yes,No,Single,Masters,Unemployed,Mortgage,0,true,false,false,true,true
Client_75,23,2,17,5,31,38.3,1.17,8.44,0,Visa,Debit,,Yes,No,Married,Masters,Unemployed,Rent,0,true,false,false,true,false
Client_76,27,3,2,1,146,28.1,0.7,9.66,0,CIB,Credit,,Yes,No,Divorced,High School,Self-Employed,Rent,0,false,false,false,true,true
Client_77,41,3,34,5,180,25.4,5.45,0.31,0,Mastercard,Debit,,Yes,No,Single,Masters,Self-Employed,Mortgage,0,true,false,true,false,false
Client_78,39,1,16,9,127,5.8,7.04,4.82,0,CIB,Credit,,Yes,No,Divorced,Masters,Unemployed,Own,0,true,true,false,true,false
Client_79,38,4,7,4,84,22.2,7.75,2.67,0,Mastercard,Credit,,Yes,No,Single,PhD,Employed,Mortgage,0,false,true,false,false,false
Client_80,21,4,39,27,177,4.3,3.45,6.94,0,Mastercard,Credit,,Yes,No,Divorced,High School,Employed,Rent,0,true,true,false,false,true
Client_81,51,1,19,4,199,12.1,2.74,7.73,0,Mastercard,Debit,,Yes,No,Single,High School,Unemployed,Mortgage,0,true,false,false,false,false
Client_82,48,3,13,18,72,27.9,5.52,3.54,0,Visa,Debit,,Yes,No,Single,Bachelors,Employed,Mortgage,0,true,true,true,false,true
Client_83,39,4,25,19,102,19.5,9.25,0.72,0,Mastercard,Credit,,Yes,No,Single,Bachelors,Self-Employed,Mortgage,0,false,true,false,false,true
Client_84,22,1,26,14,144,9.2,1.29,1.83,0,CIB,Credit,,Yes,No,Married,Bachelors,Self-Employed,Own,0,false,false,true,false,false
Client_85,47,2,5,12,173,30.6,8.42,7.55,0,Visa,Debit,,Yes,No,Divorced,High School,Employed,Mortgage,0,true,false,true,false,true
Client_86,38,2,15,27,100,4.7,1.98,3.35,0,Visa,Credit,,Yes,No,Divorced,PhD,Self-Employed,Own,0,true,true,true,true,false
Client_87,27,3,30,2,39,38.8,1.13,3.7,0,Visa,Debit,,Yes,No,Single,Masters,Unemployed,Rent,0,false,false,true,true,true
Client_88,64,1,21,14,143,27.1,5.33,9.5,0,Visa,Debit,,Yes,No,Single,Masters,Unemployed,Own,0,false,true,true,false,true
Client_89,48,2,6,7,87,12.9,1.52,9.43,0,Mastercard,Credit,,Yes,No,Married,Bachelors,Unemployed,Mortgage,0,false,false,true,false,false
Client_90,56,4,5,25,35,14.2,0.33,5.64,0,Visa,Credit,,Yes,Yes,Married,Masters,Unemployed,Own,0,false,true,true,true,true
Client_91,23,2,36,21,105,10.3,5.84,13.69,0,CIB,Credit,,Yes,No,Divorced,Masters,Employed,Own,0,true,false,false,true,false
Client_92,60,1,20,27,89,37.6,3.45,12.78,0,CIB,Credit,,Yes,No,Divorced,Bachelors,Self-Employed,Own,0,false,true,false,false,true
Client_93,25,4,13,14,163,46.9,3.61,1.95,0,CIB,Debit,,Yes,Yes,Married,Bachelors,Self-Employed,Own,0,false,false,true,false,true
Client_94,59,4,7,14,34,45.3,0.55,6.75,0,CIB,Credit,,Yes,No,Divorced,High School,Unemployed,Own,0,false,true,false,false,true
Client_95,53,4,6,2,181,25.9,5.21,9.16,0,Visa,Credit,,Yes,No,Married,Masters,Self-Employed,Rent,0,false,false,false,true,true
Client_96,62,4,6,12,197,5.4,1.19,3.94,0,Mastercard,Debit,,Yes,No,Single,Bachelors,Employed,Rent,0,false,true,true,false,false
Client_97,39,1,25,20,102,2.4,7.85,5.09,0,Visa,Credit,,Yes,No,Single,High School,Employed,Mortgage,0,false,true,false,true,false
Client_98,47,4,7,27,103,37.6,7.06,4.13,0,Mastercard,Debit,,Yes,Yes,Divorced,High School,Employed,Own,0,false,false,true,false,false
Client_99,40,2,12,20,74,4.4,1.15,4.42,0,Mastercard,Credit,,Yes,No,Single,High School,Unemployed,Mortgage,0,false,false,false,true,true
Client_100,54,1,25,7,152,40.1,1.46,9.96,0,Mastercard,Debit,,Yes,No,Divorced,Masters,Unemployed,Own,0,true,false,true,true,false
Client_101,52,1,32,10,47,33.1,0.74,4.68,0,Visa,Credit,,No,No,Divorced,Bachelors,Self-Employed,Rent,0,false,false,true,true,true
Client_102,38,3,21,22,146,20.9,8.48,7.46,1,Visa,Credit,,Yes,No,Married,PhD,Employed,Rent,0,true,true,false,true,false
Client_103,50,2,17,24,181,4.8,8.36,0.4,0,Mastercard,Credit,,Yes,No,Divorced,High School,Unemployed,Mortgage,0,true,true,true,false,true
Client_104,25,3,7,5,194,16.2,4.77,12.3,0,Visa,Credit,,Yes,No,Single,Bachelors,Employed,Mortgage,0,true,false,false,true,false
Client_105,40,3,31,23,90,46.8,5.19,0.11,0,CIB,Debit,,Yes,No,Divorced,High School,Unemployed,Mortgage,0,true,true,true,false,true
Client_106,46,1,15,28,32,24.7,6.21,12.55,0,CIB,Debit,,Yes,No,Married,Bachelors,Unemployed,Rent,0,true,false,true,true,false
Client_107,61,2,39,5,140,18.9,7.44,9.23,0,Visa,Credit,,Yes,No,Married,Masters,Self-Employed,Rent,0,true,true,true,true,true
Client_108,47,3,21,27,172,3.7,0.07,11.36,0,Mastercard,Debit,,No,No,Married,Masters,Employed,Own,0,false,false,false,true,false
Client_109,62,4,5,23,101,31.5,6.7,11.54,0,Visa,Credit,,Yes,No,Divorced,PhD,Self-Employed,Own,0,false,true,false,false,true
Client_110,21,3,28,23,140,26.7,3.18,12.14,0,Visa,Credit,,Yes,No,Single,Masters,Unemployed,Own,0,true,false,false,true,false
Client_111,59,1,24,12,70,21.9,0.77,2.0,0,Mastercard,Debit,,Yes,No,Divorced,Masters,Self-Employed,Mortgage,0,false,false,true,true,false
Client_112,46,3,24,12,133,22.3,8.05,4.35,0,Visa,Credit,,Yes,No,Married,Masters,Unemployed,Rent,0,true,true,true,false,false
Client_113,55,2,35,26,65,3.0,6.03,3.44,0,CIB,Debit,,Yes,No,Divorced,Bachelors,Employed,Rent,0,false,false,true,true,true
Client_114,25,1,33,14,136,16.5,2.97,0.4,0,CIB,Credit,,Yes,No,Divorced,Bachelors,Employed,Rent,0,true,false,true,false,false
Client_115,37,2,12,4,184,16.4,9.4,4.9,0,Mastercard,Debit,,Yes,No,Divorced,High School,Self-Employed,Mortgage,0,false,false,false,false,true
Client_116,50,1,19,20,35,40.1,5.42,0.59,0,Mastercard,Credit,,Yes,No,Divorced,PhD,Self-Employed,Own,0,true,false,false,true,false
Client_117,20,3,29,12,100,7.4,5.24,7.82,0,CIB,Credit,,Yes,No,Married,PhD,Self-Employed,Mortgage,0,true,true,false,false,false
Client_118,61,2,6,17,101,9.7,3.24,9.11,0,Visa,Credit,,Yes,No,Single,High School,Unemployed,Rent,0,true,true,true,false,false
Client_119,41,4,23,0,147,43.1,4.92,11.78,0,CIB,Credit,,Yes,No,Married,Bachelors,Self-Employed,Mortgage,0,false,false,true,false,false
Client_120,64,2,11,29,172,24.1,4.65,9.55,0,Visa,Debit,,Yes,No,Single,Masters,Employed,Own,0,false,true,false,true,false
Client_121,46,3,18,2,93,17.8,4.01,7.81,0,CIB,Debit,,Yes,Yes,Married,Bachelors,Unemployed,Mortgage,0,true,true,true,true,false
Client_122,47,1,18,9,197,17.5,1.75,4.25,0,CIB,Credit,,Yes,No,Married,High School,Unemployed,Rent,0,false,true,true,false,true
Client_123,33,2,27,10,136,38.6,3.61,0.13,0,Mastercard,Debit,,Yes,No,Single,Bachelors,Employed,Own,0,true,false,true,true,false
Client_124,46,2,17,26,57,9.7,4.66,0.44,0,Mastercard,Credit,,Yes,No,Single,PhD,Employed,Own,0,false,true,true,true,true
Client_125,44,2,32,11,129,14.2,8.7,3.39,0,Visa,Credit,,Yes,No,Divorced,Bachelors,Employed,Rent,0,false,false,false,false,false
Client_126,39,4,26,28,104,22.2,9.13,7.99,0,CIB,Debit,,Yes,Yes,Single,Bachelors,Employed,Rent,0,true,false,true,false,false
Client_127,20,3,16,6,38,13.1,5.68,11.21,0,CIB,Credit,,Yes,No,Single,Masters,Unemployed,Mortgage,0,true,false,false,true,true
Client_128,60,1,33,25,198,29.9,7.92,12.59,0,Visa,Debit,,Yes,No,Single,Bachelors,Employed,Rent,1,true,true,false,true,true
Client_129,30,4,0,13,198,11.2,4.09,1.95,0,Visa,Debit,,Yes,No,Divorced,Masters,Unemployed,Mortgage,0,false,false,true,true,true
Client_130,21,2,14,11,101,22.4,4.21,8.56,0,Mastercard,Debit,,Yes,No,Single,PhD,Unemployed,Own,0,false,true,false,true,false
Client_131,60,2,4,18,176,29.9,7.9,5.89,0,Visa,Debit,,Yes,No,Married,Masters,Self-Employed,Own,1,false,true,true,true,false
Client_132,64,2,23,8,169,14.5,7.69,4.35,0,Mastercard,Debit,,Yes,No,Married,High School,Unemployed,Mortgage,0,false,true,false,false,false
Client_133,21,3,4,16,121,32.4,0.82,4.14,0,CIB,Credit,,No,No,Single,Bachelors,Employed,Rent,0,true,false,true,false,true
Client_134,52,1,38,14,132,16.3,6.72,2.78,0,CIB,Credit,,Yes,No,Divorced,PhD,Unemployed,Mortgage,0,false,false,false,false,false
Client_135,33,2,22,27,99,3.1,5.79,12.38,0,CIB,Debit,,Yes,No,Married,PhD,Self-Employed,Mortgage,0,true,true,true,true,true
Client_136,47,2,18,2,63,1.5,0.58,11.74,0,Mastercard,Debit,,Yes,No,Divorced,Bachelors,Self-Employed,Rent,0,false,true,false,false,false
Client_137,49,1,33,0,186,20.2,6.5,11.17,0,Visa,Credit,,Yes,No,Single,Masters,Unemployed,Own,0,true,true,true,true,false
Client_138,21,3,22,14,86,22.6,3.26,9.0,0,Visa,Credit,,Yes,No,Married,High School,Self-Employed,Rent,0,true,false,false,false,false
Client_139,38,4,5,14,146,48.5,2.19,4.67,0,Visa,Credit,,Yes,No,Single,Bachelors,Employed,Mortgage,0,true,true,true,false,true
Client_140,32,4,11,15,187,7.2,0.27,2.59,0,Mastercard,Debit,,Yes,No,Single,Masters,Employed,Mortgage,0,false,false,true,false,true
Client_141,53,3,20,1,166,27.6,3.58,13.3,0,CIB,Credit,,Yes,No,Single,Bachelors,Unemployed,Rent,0,true,true,true,false,false
Client_142,29,3,33,20,170,43.8,1.31,11.1,0,Mastercard,Credit,,Yes,No,Single,PhD,Unemployed,Own,0,false,false,true,true,false
Client_143,46,1,18,25,34,44.0,3.24,14.95,0,CIB,Debit,,Yes,No,Married,Masters,Self-Employed,Own,0,true,false,false,false,false
Client_144,36,2,33,1,44,4.5,4.49,11.06,0,CIB,Debit,,Yes,No,Single,PhD,Unemployed,Rent,0,false,false,true,true,false
Client_145,39,1,34,27,41,0.5,8.65,2.07,0,CIB,Debit,,Yes,No,Single,Masters,Unemployed,Rent,0,false,true,false,false,true
Client_146,20,2,31,5,49,33.1,1.24,4.29,0,Visa,Credit,,Yes,No,Married,PhD,Employed,Own,0,false,false,true,true,false
Client_147,61,3,12,8,91,36.0,6.14,7.26,0,CIB,Credit,,Yes,No,Married,PhD,Unemployed,Mortgage,0,false,true,true,false,true
Client_148,32,2,6,14,41,45.6,3.88,7.91,1,Mastercard,Debit,,Yes,No,Divorced,High School,Unemployed,Rent,0,false,true,true,true,true
Client_149,37,4,16,1,114,0.7,9.33,8.91,0,CIB,Debit,,Yes,No,Divorced,Bachelors,Employed,Own,0,true,true,true,true,false
Client_150,32,2,39,22,170,36.5,1.33,10.04,0,Visa,Debit,,Yes,No,Married,PhD,Unemployed,Own,0,true,true,false,false,true
Client_151,27,3,7,26,50,20.4,1.4,5.38,0,CIB,Credit,,No,No,Single,PhD,Employed,Mortgage,0,false,true,false,false,true
Client_152,30,4,27,11,110,14.2,3.23,6.55,0,CIB,Credit,,Yes,No,Divorced,High School,Employed,Own,0,true,false,false,true,false
Client_153,50,3,16,10,117,39.0,4.67,10.25,0,CIB,Debit,,Yes,No,Single,PhD,Self-Employed,Own,0,false,true,false,false,false
Client_154,64,2,8,13,135,31.7,8.79,4.36,0,Mastercard,Debit,,Yes,No,Single,High School,Self-Employed,Rent,0,true,false,true,true,false
Client_155,38,2,4,1,94,12.0,1.93,12.16,1,Mastercard,Debit,,Yes,No,Single,PhD,Self-Employed,Mortgage,0,true,true,true,true,false
Client_156,29,4,15,16,171,31.2,0.02,2.96,0,Visa,Debit,,Yes,Yes,Married,High School,Employed,Own,0,false,true,false,true,false
Client_157,28,1,11,28,60,37.1,2.69,0.34,0,Visa,Credit,,Yes,No,Divorced,Bachelors,Employed,Rent,0,false,true,true,false,true
Client_158,28,1,11,4,145,11.8,2.02,0.16,0,CIB,Credit,,Yes,No,Divorced,High School,Self-Employed,Mortgage,0,false,true,false,true,false
Client_159,23,3,36,13,50,5.9,3.84,13.06,0,Visa,Credit,,Yes,No,Married,High School,Self-Employed,Rent,0,false,false,false,true,false
Client_160,64,2,24,5,174,31.1,6.77,5.82,0,Mastercard,Debit,,Yes,No,Single,High School,Employed,Mortgage,0,true,true,true,false,true
Client_161,33,4,23,21,194,18.7,3.2,3.37,0,CIB,Credit,,Yes,No,Married,Bachelors,Unemployed,Rent,0,false,false,false,true,true
Client_162,21,4,22,19,113,20.6,8.63,2.86,0,Visa,Credit,,No,No,Single,Masters,Employed,Mortgage,0,true,true,true,false,false
Client_163,23,4,4,11,57,37.9,2.62,0.64,0,CIB,Credit,,Yes,No,Divorced,High School,Self-Employed,Mortgage,0,true,false,false,false,true
Client_164,40,1,21,15,109,32.3,4.57,13.0,1,Mastercard,Debit,,Yes,No,Divorced,High School,Employed,Own,0,true,false,false,false,false
Client_165,46,1,0,5,106,44.6,7.67,4.67,0,Mastercard,Debit,,Yes,No,Married,Bachelors,Self-Employed,Own,0,false,true,false,false,false
Client_166,53,1,11,2,71,3.0,6.64,14.92,0,Mastercard,Debit,,Yes,No,Single,PhD,Unemployed,Mortgage,0,false,true,false,true,true
Client_167,32,4,27,14,56,6.9,6.09,12.12,0,Visa,Debit,,Yes,No,Divorced,Masters,Self-Employed,Mortgage,0,true,false,false,true,true
Client_168,42,4,39,18,120,11.0,6.83,5.52,0,CIB,Credit,,Yes,No,Single,Bachelors,Employed,Own,0,false,true,false,true,true
Client_169,35,1,1,10,41,2.5,7.27,0.99,1,Mastercard,Credit,,Yes,No,Divorced,PhD,Unemployed,Rent,0,false,false,true,false,true
Client_170,50,1,7,11,124,30.8,9.39,14.09,0,Visa,Credit,,Yes,No,Married,Masters,Self-Employed,Rent,1,true,true,false,true,true
Client_171,58,2,31,8,58,11.3,5.99,14.44,0,CIB,Debit,,Yes,No,Divorced,Masters,Self-Employed,Own,0,false,false,false,false,false
Client_172,31,3,33,8,78,8.4,3.52,5.19,0,Visa,Debit,,Yes,Yes,Divorced,Bachelors,Employed,Own,0,false,false,true,false,false
Client_173,63,1,20,3,123,2.1,0.14,8.06,0,Visa,Debit,,Yes,No,Divorced,Masters,Self-Employed,Own,0,false,false,true,false,true
Client_174,43,3,31,19,96,43.1,0.59,3.5,0,CIB,Credit,,Yes,No,Divorced,Masters,Employed,Own,0,true,false,false,true,true
Client_175,61,1,27,16,147,48.4,2.6,11.29,0,Mastercard,Credit,,Yes,No,Single,Masters,Employed,Rent,0,true,false,true,false,true
Client_176,36,1,33,10,86,6.1,8.99,12.41,0,CIB,Debit,,Yes,No,Married,PhD,Self-Employed,Rent,0,false,true,false,true,true
Client_177,63,4,4,7,94,37.8,0.39,10.24,0,CIB,Debit,,Yes,No,Married,Masters,Self-Employed,Rent,0,true,false,false,false,true
Client_178,49,4,22,6,80,23.7,6.38,12.42,0,Visa,Credit,,Yes,No,Divorced,PhD,Unemployed,Rent,0,false,false,true,true,false
Client_179,61,3,3,18,38,38.3,9.32,1.21,0,Mastercard,Debit,,Yes,No,Married,Masters,Self-Employed,Rent,0,false,true,true,true,true
Client_180,52,1,18,24,96,3.0,5.93,3.52,0,Mastercard,Credit,,Yes,Yes,Married,High School,Self-Employed,Mortgage,0,true,false,true,false,false
Client_181,59,3,30,12,180,49.5,2.49,12.48,0,Mastercard,Credit,,Yes,No,Single,Masters,Employed,Rent,0,true,true,false,false,false
Client_182,20,4,27,22,184,48.9,4.77,13.26,0,CIB,Debit,,Yes,No,Married,Bachelors,Self-Employed,Mortgage,0,true,true,false,false,true
Client_183,36,4,2,15,89,35.2,4.39,1.74,0,Mastercard,Credit,,No,No,Married,High School,Unemployed,Rent,0,false,false,true,false,false
